행정구역,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,공원_개수,총_인구수,입시학원_개수,어린이집_개수,초미세먼지_최대치,일산화탄소_최대치,마트거리(km),병원거리(km)
개포동,개포주공5단지,83.17,202104,26,270000,9,1983,16,57218,95,9,34.645161,0.912903226,2.199322015,2.741615327
개포동,개포주공5단지,83.17,202105,18,273000,1,1983,16,57218,95,9,34.645161,0.912903226,2.199322015,2.741615327
개포동,개포주공5단지,83.17,202105,28,280000,7,1983,16,57218,95,9,34.645161,0.912903226,2.199322015,2.741615327
개포동,개포주공5단지,74.25,202106,24,273000,10,1983,16,57218,95,9,34.645161,0.912903226,2.199322015,2.741615327
개포동,개포주공5단지,83.17,202110,6,279500,1,1983,16,57218,95,9,34.645161,0.912903226,2.199322015,2.741615327
개포동,개포주공5단지,83.17,202110,31,285000,2,1983,16,57218,95,9,34.645161,0.912903226,2.199322015,2.741615327
개포동,개포주공6단지,53.06,202101,1,178000,3,1983,16,57218,95,9,34.645161,0.912903226,2.358391112,2.63657106
개포동,개포주공6단지,53.06,202102,1,200000,12,1983,16,57218,95,9,34.645161,0.912903226,2.358391112,2.63657106
개포동,개포주공6단지,73.02,202102,28,240500,7,1983,16,57218,95,9,34.645161,0.912903226,2.358391112,2.63657106
개포동,개포주공6단지,73.02,202103,31,226000,7,1983,16,57218,95,9,34.645161,0.912903226,2.358391112,2.63657106
개포동,개포주공6단지,83.21,202105,15,260000,3,1983,16,57218,95,9,34.645161,0.912903226,2.358391112,2.63657106
개포동,개포주공6단지,83.21,202107,24,285000,3,1983,16,57218,95,9,34.645161,0.912903226,2.358391112,2.63657106
개포동,개포주공7단지,60.76,202101,7,200000,9,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
개포동,개포주공7단지,53.46,202101,14,180000,11,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
개포동,개포주공7단지,73.26,202101,30,235000,1,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
개포동,개포주공7단지,73.26,202101,30,235000,1,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
개포동,개포주공7단지,53.46,202104,21,206000,9,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
개포동,개포주공7단지,83.7,202105,12,275000,8,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
개포동,개포주공7단지,73.26,202105,29,260000,8,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
